timecode,district,lines,firing_type
00:00:00,1,"[1]",unit
00:00:02,2,"[1,2,3]",rapid
00:00:06,3,"[1,2,3]",all_fire
00:00:08,1,"[2]",unit
00:00:22,1,"[5]",unit
00:00:43,1,"[6]",unit
00:00:56,1,"[7]",unit
00:01:01,1,"[8]",unit
00:01:21,1,"[9]",unit
00:01:40,1,"[10"],unit
00:01:41,1,"[11]",unit
00:02:00,1,"[3]",unit
00:02:03,1,"[4]",unit
00:02:08,4,"[1,2,3,4,5,6]",all_fire
00:02:29,5,"[1]",unit
00:02:51,5,"[2]",unit
00:02:59,5,"[3,4]",unit
00:03:06,5,"[5]",unit
00:03:16,5,"[6]",unit
00:03:19,5,"[7]",unit
00:03:22,5,"[8]",unit
00:03:24,5,"[9]",unit
